Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Sheesha Finance,https://www.sheeshafinance.io/,"ALMAS-48-CV34 ALMAS Tower Plot, JLT-PH1-A0 Jumeirah Lakes Towers, Dubai, United Arab Emirates","Afghanistan,Albania,Algeria,Andorra,Angola,Antigua and Barbuda,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Macedonia,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,UAE,Uganda,UK,Ukraine,Uruguay,USA,Uzbekistan,Vanuatu,Venezuela,Vietnam,Zambia,Zimbabwe","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in long-term projects at the earliest stage that pave the way for mass blockchain adoption across different border, barriers and ecosystems. As a decentralized VC investing, we aim to diversify our portfolio, investing in DeFi, Gaming, NFT, Real World application and encourage ESG narratives.",VC,"$100,000","$1,000,000"
Shefqet Avdullau,,"Tirana, Albania","USA,UK","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","I invest in tech (AI, B2B, Adtech, Healthtech, SaaS; strong Fintech interest). Focus: innovative/disruptive tech and models. Prefer experienced serial founders (2nd+ time). Crypto: Generally no, except established unicorn/decacorns near IPO. Exceptions: Opportunistic via personal belief in known founders or trusted partner deals.",Solo angel,"$5,000","$200,000"
Sherwin Lee,,Singapore,"China,Hong Kong,India,Indonesia,Japan,Malaysia,Nepal,Pakistan,Philippines,Singapore,South Korea,Sri Lanka,Taiwan,Thailand,Vietnam","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",I invest in tech companies in APAC markets mainly with various type of business models but more particularly models of subscription or profit sharing.,Solo angel,"$5,000","$600,000"
Shift Left Ventures,https://shiftleft.ventures,"4100, Spring Valley Road, Suite 270, Farmers Branch, TX. 75244","USA,India","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in B2B.,VC,"$50,000","$250,000"
Shilling VC,https://www.shilling.vc/,"Lisbon, Portugal","Portugal,Spain,Germany,Switzerland,UK,France,Austria,Czech Republic","2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in Fintech, Consumer Goods, B2B, Health, AI",VC,"$100,000","$1,000,000"
Shine Capital,https://www.shine.vc,"New York, NY, USA","USA,UK,Israel","3. Early Revenue,2. Prototype",We invest in relentlessly creative entrepreneurs who are transforming how we live and work.,VC,"$50,000","$6,000,000"
Shish Shridhar,,"Oak Harbor, WA",USA,1. Idea or Patent,"I invest in startups disrupting mature solution categories in Retail and CPG, particularly those leveraging multi-agentic AI platforms to reimagine operations, customer experience, and value chains",Solo angel,"$1,000","$25,000"
Shizen Capital,https://www.shizen.vc/,"1-17-1 Toranomon, Minato-ku. 105-6415 Tokyo, Japan",Japan,"2. Prototype,3. Early Revenue,1. Idea or Patent,4. Scaling","We invest in ambitious projects that endeavour to scale in Japan, both domestic and foreign. Our core investment thesis centers around the digital transformation of the enterprise. We are recovering entrepreneurs ourselves. ",VC,"$500,000","$5,000,000"
Shorooq Partners,https://www.shorooq.com/,"14th Floor, Al Khatem Tower, ADGM Square  Al Falah Street Abu Dhabi, UAE","UAE,Saudi Arabia,Bahrain,Jordan,Egypt,Tunisia,Morocco,Pakistan,Bangladesh","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in technology companies at the Pre-seed to Series-A stages that are fintech, software or platform companies",VC,"$1,000,000","$3,000,000"
Shreya  Choubey,,"New York, US","USA,India,UK","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",I invest in and incubate FinTech startups with a nexus to India,Solo angel,"$25,000","$300,000"
Shreyas Mohan,,"San Francisco, CA, USA",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",I invest in AI and Fintech.,Solo angel,"$1,000","$50,000"
Shri Capital,https://www.shri.capital/,"86-90 Paul Street, London EC2A 4NE","USA,UK,Australia","3. Early Revenue,4. Scaling,5. Growth",We invest in the new generation of innovators who are emerging and thriving constantly to raise capital and are mostly overlooked and underestimated.,VC,"$100,000","$5,000,000"
SHRMLabs,https://www.shrmlabs.com/,"1800 Duke Street, Alexandria, Virginia 22314, US","UK,USA,Afghanistan,Algeria,Angola,Andorra,Antigua and Barbuda,Armenia,Argentina,Azerbaijan,Bahamas,Austria,Albania,Bahrain,Australia,Bangladesh,Barbados,Belgium,Belize,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Benin,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cyprus,Czech Republic,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Honduras,Hungary,Hong Kong,Iceland,India,Indonesia,Ireland,Israel,Italy,Jamaica,Japan,Kuwait,Jordan,Kazakhstan,Kenya,Kiribati,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liechtenstein,Lithuania,Madagascar,Mexico,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritius,Mauritania,Moldova,Monaco,Morocco,Micronesia,Mongolia,Montenegro,Mozambique,Namibia,Nauru,Nepal,Netherlands,New Zealand,Luxembourg,Nigeria,Nicaragua,Niger,North Macedonia,Norway,Oman,Pakistan,Palestine,UAE,Zambia,Vietnam,Vanuatu,Uzbekistan,Uruguay,Ukraine,Uganda,Yemen,Venezuela,Tunisia,Turkey,Trinidad and Tobago,Togo,Tonga,Tanzania,Thailand,Tajikistan,Taiwan,Switzerland,Sweden,South Africa,Turkmenistan,Spain,South Sudan,Sri Lanka,South Korea,Solomon Islands,Sierra Leone,Seychelles,Singapore,Slovenia,Poland,Panama,Paraguay,Peru,Papua New Guinea,Saudi Arabia,Senegal,Sao Tome and Principe,Sant Lucia,Sant Kitts and Nevis,San Marino,Rwanda,Portugal,Philippines,Qatar,Romania,Saint Vincent and the Grenadines,Samoa,DRC Congo,Palau,Slovakia,Serbia,Tuvalu","3. Early Revenue,4. Scaling,5. Growth","We invest in HRTech, workplaceTech and future of work technologies.",VC,"$50,000","$200,000"
SID Venture Partners,https://sid.fund,"16192 COASTAL HWY, LEWES DE 19958-3608, USA","USA,Estonia,Poland,Portugal,Romania,Ukraine","2. Prototype,3. Early Revenue,4. Scaling","We invest in global software companies built by Ukrainian and CEE founders. We are mostly an industry-agnostic firm with a preference for DeepTech, B2B, Fintech, AI, and Blockchain projects. ",VC,"$100,000","$400,000"
Siddharth Roy,,"91074 Herzogenaurach, DE",India,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",I invest in any ideas in general and have no restrictions in the domain,Solo angel,"$1,000","$10,000"
Side Stage Ventures,https://sidestage.vc/,"Melbourne, Australia","Australia,USA","2. Prototype,3. Early Revenue,4. Scaling","We invest at the intersection of creativity, technology and culture - a syndicate by founders, for founders. We bring together and connect creators with like-minded, experienced investors, founders and operators who share their time, experience and networks to help you thrive.
We back the thinkers, dreamers and builders blending creativity with technology - to create the next generation of culture defining companies.",Angel network,"$100,000","$2,000,000"
Sidekick Partners,https://www.sidekickpartners.com/,"131 E 19th St, Floor 1, New York, NY 10003",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in early-stage startups within the consumer and technology sectors. By combining private equity discipline with venture capital innovation, Sidekick focuses on near-term execution and long-term value creation. The firm collaborates closely with founders, providing strategic insights, operational support, and access to a community of entrepreneurs, investors, and industry executives to drive sustainable growth and profitability",VC,"$500,000","$10,000,000"
Sierra Ventures,https://www.sierraventures.com/,"1400 Fashion Island Blvd, San Mateo, California, United States","Canada,Mexico,USA,UK,Israel","2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage B2B and B2B2C Seed and Series A companies. We focus on 3 buckets: infrastructure, deeptech, enterprise SaaS software/vertical applications.
",VC,"$1,000,000","$6,000,000"
Sightline Capital,https://www.sightline.capital,"5900 S Lake Forest Dr, STE 300, McKinney, TX 75070",USA,"3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in healthcare and MedTech.,VC,"$1,000,000","$20,000,000"
Signal Peak Ventures,https://spv.com/,"95 S State St Suite 1400, Salt Lake City, UT 84111","USA,UAE","3. Early Revenue,4. Scaling","We invest in B2B SaaS, enterprise software, cloud computing, data analytics, cybersecurity, healthcare IT, fintech, digital media, IoT, emerging markets, underserved tech hubs across the United States, general software, mobile applications, artificial intelligence, machine learning, e-commerce, and other innovative technology sectors. ",VC,"$500,000","$8,000,000"
SignalFire,https://signalfire.com/,"501 2nd St, San Francisco, CA 94107","USA,Israel","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in companies across AI/ML, cybersecurity, health tech, fintech, vertical SaaS, and consumer.",VC,"$250,000","$30,000,000"
SignalRank,https://signalrank.ai,"3650 La Calle Ct, Palo Alto, CA 94306","USA,UK",5. Growth,We invest in Series B Rounds selected by our AI Algorithm. We invest in the top 7% by score.,VC,"$250,000","$5,000,000"
Signals Pre-Seed,https://hellosignals.com/signals-pre-seed-program,"Am Nordbahnhof 3, 10178 Berlin, Germany","Germany,Austria,Switzerland","2. Prototype,3. Early Revenue",We invest in B2B software-based solutions for small and medium-sized businesses as well as in category-defining solutions for enterprises. We look for complementary founding teams with an existing MVP that are generating initial traction in the DACH region.,Corporate VC,"$120,000","$300,000"
Signals Venture Capital,http://www.signals.vc/,"Am Nordbahnhof 3 , Berlin 10115, Germany","Germany,Austria,UK,Switzerland,Israel,France,Denmark,Norway,Sweden,Finland,Poland,Estonia,Spain,Portugal,Netherlands,Belgium,Latvia,Lithuania,Ireland,Czech Republic,Greece,Hungary,Italy","3. Early Revenue,4. Scaling,2. Prototype,5. Growth","We invest in B2B software-centric business models across all enterprise segments.

Geography: Focus on Europe
Stage: Seed, Series A
Investments: €1m to €5m",VC,"$1,200,000","$6,000,000"
Silicon Road Ventures,https://www.siliconroad.vc/,"1447 Peachtree St NE, Atlanta, GA 30309, United States","USA,Canada","3. Early Revenue,4. Scaling,5. Growth","We invest in ""Commerce Tech"" - fintech, supply chain, smart retail, future of work and multichannel commerce, as it relates to innovations around CPG and retail.",VC,"$250,000","$5,000,000"
Silver Ridge Accelerator,https://silverridgeaccelerator.com,"652, Dr Ambedkar Road, Mumbai 400042, India","India,USA","2. Prototype,3. Early Revenue","We accelerate founders who want to create an impact and are building a product that can be scaled globally. Primary focus would be in Dintech, Enterprise SaaS, GenAi and Renewalble Energy.","Incubator, Accelerator","$100,000","$500,000"
Simone Cimminelli,https://www.angelinvesting.it/,"London, UK","Albania,Andorra,Armenia,Austria,Belarus,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,Russia,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine","1. Idea or Patent,2. Prototype,3. Early Revenue","I invest in:
✅ Europe.
✅ Pre-seed and seed.
✅ Short feedback loops AKA fully digital

More details here: https://angelinvesting.substack.com/p/5-angelinvestingit-from-idea-to-series",Solo angel,"$5,000","$100,000"
Simpact Ventures,https://simpact.vc,"26/2 Wejnerta Str., Warsaw, Poland","Austria,Bulgaria,Croatia,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Poland,Romania,Serbia,Slovakia,Slovenia,Ukraine","4. Scaling,3. Early Revenue,2. Prototype,1. Idea or Patent",We invest in the best impact driven startups in Central and Eastern Europe and wider. We empower founders to build tech companies that combine profit with purpose. We believe that the impact which startup creates for the society represents the degree to which it solves actual problems and at the same time is the best indicator of its future financial performance. We are sector agnostic.,VC,"$150,000","$2,000,000"
simple.Capital(),https://simple.capital/,"Bank House, 81 St Judes Road, Englefield Green, Surrey, TW20 0DF, United Kingdom","South Africa,Kenya,Nigeria,Egypt,USA,UK,Peru,Indonesia,Canada,Netherlands,Germany,France,Brazil,Mexico,Spain,Italy","4. Scaling,3. Early Revenue","We invest in early stage, post-revenue businesses that have a clearly articulated mission and purpose. ",VC,"$100,000","$300,000"
Simsan Ventures,https://simsan.vc,"83 Baker Street, London, W1U6AG, UK","UK,France,Germany,Spain,Netherlands,India,South Korea,Sweden,Estonia,Switzerland,Denmark","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest in early stage tech startups with focuses on deep tech and fintech in the UK, Europe, India and South Korea.",VC,"$100,000","$2,500,000"
Sinan Guler,https://sinanguler.com/,Amsterdam,"Canada,USA,Austria,Belgium,Bulgaria,Croatia,Denmark,Finland,France,Germany,Greece,Italy,Latvia,Lithuania,Luxembourg,Malta,Netherlands,Norway,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,Spain,Sweden,UK,Turkey","3. Early Revenue,4. Scaling,5. Growth","I invest in startups, mainly looking at sports and entertainment vertical.",Solo angel,"$5,000","$50,000"
Sinarmas Technology,http://www.sinarmas.com,"Bangalore, India",India,"3. Early Revenue,4. Scaling,5. Growth,2. Prototype","We invest in pre-Seed to Series-B stage, with preferred business models being platforms (aggregators, marketplaces, etc.), SaaS and deep-tech. Within these models, fairly sector-agnostic and comfortable with B2B as well as B2C. Software, asset-light, and highly scalable models are the favorites. ",VC,"$200,000","$10,000,000"
Singtel Innov8,https://innov8.singtel.com/index.html,71 Ayer Rajah Crescent #02-22 Singapore 139951,"Singapore,Australia,China,USA,Israel","3. Early Revenue,4. Scaling,5. Growth","We invest in 5G Enterprise & Applications, Data Privacy & Security, New Emerging Technologies",Corporate VC,"$1,000,000","$5,000,000"
Singular,https://singular.vc,"22 boulevard Malesherbes, 75008 Paris, France","UK,Germany,France,Spain,Italy,Finland,Sweden,Denmark,Netherlands,Norway,Poland,Austria,Portugal,Belgium","3. Early Revenue,4. Scaling,2. Prototype",We invest in remarkable founders building transformative companies,VC,"$1,000,000","$25,000,000"
SinWave Ventures,https://sinewave.vc/,"251 18th Street South Suite 610  Arlington, VA 22202","USA,UK,Israel","2. Prototype,3. Early Revenue,4. Scaling,5. Growth","We invest in the following areas:
• Data and Analytics: We look for data ingest technologies, developer tooling for AI and ML, understandable AI systems, analytic workflow tools, analytics to control automated processes, and decision analytics. Data need to be helpful in various environments in a way that addresses a wide range of latency concerns. As a result, we seek technologies that adapt analytic workflows to accommodate processing constraints and support the development of just-in-time, good-enough analytical strategies.
• Cybersecurity: We look for end-point security systems, zero trust systems, novel access control and isolation mechanisms, application security, code analysis, and software-defined perimeters. Data protection deserves special attention to address security and privacy concerns and look for novel ways to protect data in motion and at rest.
• Computing: We look for technologies that enable high-performance computing from commodity resources, allow distributed and edge computing, support stream processing, and enable specialized processors. We also believe that compute requirements ebb and flow, so look for technologies that rapidly provision and configure compute resources.
• Networking: We look for technologies that heighten network adaptivity and enable computation distribution. This includes software-defined networking, edge networks, and 5G technologies. Adaptive networks need secure network controls, so look for technologies that support policy-driven networking and secure network configuration.",VC,"$200,000","$10,000,000"
SIX Fintech Ventures,https://www.six-group.com/en/company/the-future-of-finance-is-now/six-fintech-ventures.html,"Hardturmstrasse 201, 8005 Zurich, Switzerland","Switzerland,Germany,Spain,Austria,UK,France,Belgium,Netherlands","2. Prototype,3. Early Revenue,4. Scaling",We invest in early stage fintech companies.,Corporate VC,"$300,000","$2,000,000"
Sixty Degree Capital,https://www.sixtydegreecapital.com,Toronto,"Canada,USA,Austria,Belgium,France,Germany,Portugal,UK,Israel","3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in Series A to pre-IPO companies. In enterprise software, Sixty Degree Capital invests within verticals such as data & cloud infrastructure, artificial intelligence, developer tools, and cybersecurity. In healthcare, Sixty Degree Capital primarily focuses on therapeutics, medical services, medical devices, and diagnostics. ",VC,"$1,000,000","$10,000,000"
SK Lee,https://www.launchcoachinglab.com/,"Eureka, California, United States","Canada,Chile,Colombia,Costa Rica,Peru,USA,South Korea,Taiwan,Spain,Sweden,UK,Australia","2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","I invest in:
* Solid team, ideally with early-stage (0-1) building experience.
* Evidence of the ability to sell the vision: to customers, talent, advisors, investors,
* Potential for rapid growth in a large market.
* Signals of technical/business innovation moats.
* Products that make the world more awesome.",Solo angel,"$5,000","$500,000"
SK Ventures,http://skvcap.com/,"Florida, USA","Canada,USA","2. Prototype,1. Idea or Patent,3. Early Revenue","We invest in entrepreneurs that are science-driven, deep experts in their startup's domain.

We invest in areas around our subcritical thesis (https://skventures.substack.com/p/welcome-to-the-subcritical-society). ",VC,"$50,000","$250,000"
Skalata Ventures,https://www.skalata.co/,"Level 2/710 Collins St, Docklands VIC 3008",Australia,"3. Early Revenue,4. Scaling","We invest in Australian-based, market-ready seed-stage companies. ",VC,"$70,000","$750,000"
Sketchnote Partners,,"Madrid, Spain","Philippines,Vietnam,Singapore,Thailand,Bangladesh,Indonesia,Pakistan,India","3. Early Revenue,2. Prototype","We invest in SaaS, Fintech, Agritech, Logistics, Edtech.

Our thesis is simple. We look for:
- amazing founders
- early signs of product-market-fit
- a strong lead investor. We are always followers, we do not lead",VC,"$50,000","$250,000"
Skilltor Tech Venture Studio,https://www.skilltor.io,"Dover, DE - 19901 62/63 The Pavilion, Church Street, Bengaluru - 560001","Zimbabwe,Afghanistan,Algeria,Australia,Bahamas,Barbados,Belize,Brazil,Central African Republic,USA,Trinidad and Tobago,Taiwan,China,South Africa,Monaco,France,Canada,Dominican Republic","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in Web3, AI, Digital Trust, Infrastructure Software, Saas, Marketplace and Gaming startups with in a MVP stage to a 40M valuation with the ability to scale and grow",Startup studio,"$500,000","$1,000,000"
Skystar Capital,https://skystar.vc/,"Jakarta, Indonesia","Indonesia,Malaysia,Philippines,Singapore,Vietnam","2. Prototype,3. Early Revenue,4. Scaling","We invest in early-stage (Seed to Series A) tech-focused startups (consumer software, edtech, enterprise software, fintech, healthtech) led by Founders who are passionate to create an impact in Indonesia. We seek to support businesses with strong fundamentals that are scalable and can grow sustainably.",VC,"$100,000","$2,000,000"
Slay Ventures,https://slayventures.io,"350 Lincoln Road, 2nd Floor, Miami Beach, FL 33139",USA,"2. Prototype,3. Early Revenue,4. Scaling","We invest in female-founded and focused startups driving mainstream consumer adoption. At Slay Ventures, we’re not just a venture capital firm. We’re a global catalyst, forging innovation in the FutureTech ecosystem with our unique focus on female-founded and focused startups driving mainstream consumer adoption. We believe in the power of diverse perspectives to drive innovation and reshape industries. As a Miami-based venture fund, we’re at the heart of a thriving tech scene, perfectly positioned to fuel the rise of the next generation of trailblazing startups.",VC,"$250,000","$1,000,000"
Slimmer AI,https://www.slimmer.ai/,"Singel 542 , Amsterdam, North Holland 1017, NL","Belgium,Luxembourg,Netherlands","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in AI-powered B2B SaaS ventures based in Europe. We also co-build ventures, so it's never too early to reach out!",Startup studio,"$50,000","$3,000,000"
Small Ventures USA,https://www.smallventuresusa.com/,"2017 Morse St, Houston, Texas 77019-6114, US",USA,"3. Early Revenue,4. Scaling,5. Growth","We invest in three broad areas:
-Energy : clean energy, green projects and international infrastructure projects.
-Technology: focus on service companies and internet oriented companies.
-Entertainment: royalty lending, movie production and development, financing

Software is still eating the world.",Family office,"$25,000","$1,000,000"
Smart Infrastructure Ventures,https://siventures.de/,"Spinnereistraße 7, 04179 Leipzig",Germany,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in software-based B2B startups from Germany with a focus on energy, proptech, security and health. We are not limited to these focus areas and invest opportunistically.",VC,"$300,000","$500,000"
Smartfin,https://www.smartfinvc.com,"Brussels, Belgium","Belgium,Denmark,Finland,France,Germany,Italy,Luxembourg,Netherlands,Spain,Sweden,Switzerland,Turkey","3. Early Revenue,4. Scaling,5. Growth",We invest in promising B2B technology companies across Europe that have achieved initial signs of product-market fit.,VC,"$1,000,000","$20,000,000"
SmartGateVC,https://www.smartgate.vc/,"Hero House at HyeRise 326 Mira Loma Ave, Glendale, CA 91204","Armenia,USA,Ukraine,Belarus,Poland,Russia","2. Prototype,3. Early Revenue","We invest pre-seed in AI infrastructure, AI-enabled devices/IoT and SaaS, as well as ventures on the intersection of AI with Healthcare / Life Sciences.",VC,"$25,000","$100,000"
Smedvig Capital,https://smedvigcapital.com/,"Ryger House, 11 Arlington Street, London, SW1A 1RD, GB","UK,Norway,Denmark,Sweden,Finland,Netherlands,Iceland","4. Scaling,5. Growth","We invest in the best tech-enabled businesses in the UK, Nordics & Netherlands, leading rounds at Series A/B.",VC,"$3,000,000","$20,000,000"
Smok Ventures,https://smok.vc,"29 Cegłowska Str., Warsaw, Poland","Albania,Belarus,Bosnia-H,Bulgaria,Croatia,Czech Republic,Estonia,Hungary,Latvia,Lithuania,Moldova,Montenegro,North Macedonia,Poland,Romania,Serbia,Slovakia,Slovenia,Ukraine","1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in pre-seed and seed stage CEE-based startups building future industry leaders in software and gamedev space.,VC,"$100,000","$1,000,000"
Snö Ventures,https://sno.vc,"Bryggegata 3, 0250 Oslo, Norway","Norway,Sweden,Finland,Denmark,Iceland","3. Early Revenue,4. Scaling,5. Growth","We invest in early stage, high-growth Nordic tech companies with the potential to disrupt, create or capture large markets through transformative technology or solutions. ",VC,"$600,000","$5,000,000"
Snowpoint Ventures,https://snowpoint.vc/,700 S Rosemary Ave Suite 204 West Palm Beach FL 33401,USA,"3. Early Revenue,4. Scaling,5. Growth",We invest in dual-use companies at the intersection of data and frontier/deep tech scaling both commercially and within the DoD,VC,"$2,000,000","$5,000,000"
Social Capital,http://www.socialcapital.com,"Menlo Park, California, United States","Argentina,Bahrain,Brazil,Canada,Ghana,India,Indonesia,Israel,Italy,Japan,Kenya,Mexico,Nigeria,South Korea,UAE,UK,USA","2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO",We invest in transformative technology companies.,VC,,"$15,000,000"
Socii Capital,https://sociicapital.com/,"10 Bloomsbury Way, London, London WC1A 2SL, GB","USA,Singapore,Denmark,France,Germany,Norway,Sweden,UK","2. Prototype,3. Early Revenue,4. Scaling","We invest in the next generation of digital infrastructure: B2B SaaS, data, cloud infrastructure, Fintech, marketplaces, Regtech, and Legaltech

We invest at seed, A, and sometimes B.",VC,"$500,000","$4,000,000"
Sofinnova Partners,https://www.sofinnovapartners.com/,"7-11 Boulevard Haussmann, Paris 75009, France","France,Italy,USA,Germany,Netherlands,Canada,Switzerland,UK","3. Early Revenue,4. Scaling,1. Idea or Patent,2. Prototype,5. Growth,6. Pre-IPO","We invest in life sciences startups with a focus on healthcare and sustainability. We look for visionary entrepreneurs developing breakthrough technologies in biotech, biopharma, medtech, and industrial biotech. We proactively source deals, take a lead role, and are most often the first institutional investor in Seed and Series A financings.  ",VC,"$1,000,000","$60,000,000"
SoGal Ventures,https://sogalventures.com,"New York, NY USA ","USA,Canada,China,Singapore","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling","We invest globally in diverse founding teams revolutionizing how the next generations live, work & stay healthy. ",VC,"$250,000","$3,000,000"
SOL Fund 001,https://www.solfund001.com/,"Georgetown, Grand Cayman ","Canada,USA,Mexico,UK,South Africa","1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling",We invest in Web 3 Projects built on Solana,VC,"$100,000","$1,000,000"
Solid Bond Capital,https://www.solidbond.com/,"Unit 25 - Reception Building Chorley Business & Technology Centre, Euxton Lane, Euxton, Chorley, England, PR7 6TE",UK,"1. Idea or Patent,2. Prototype,3. Early Revenue",We invest in UK Pre-Seed stage businesses. Ranging from pre-revenue/MVP to early traction and revenue. We like to back B2B SaaS/tech enabled businesses and look to back rounds ranging from £100k-£350k.,Family office,"$100,000","$350,000"
Soma Ventures,https://soma.ventures/,"5111 Telegraph Ave.  Oakland, CA 94609","Taiwan,China,USA,Canada,Hong Kong,Sweden,Egypt,Norway,UK","3. Early Revenue,2. Prototype","We invest in $1B plus market opportunity.  Business model-scalable, solving a major pain point. Defensible Product - Unique industry knowledge, Network effects. Unit Economics - Viable, high LTV/CAC, with unique business channels. Team - Experienced entrepreneurs with world views.
",VC,"$50,000","$250,000"
Sony Innovation Fund,http://www.sonyinnovationfund.com/,"1-7-1 Konan Minato-ku, Tokyo, Japan 108-0075, JP","USA,Israel,Japan","3. Early Revenue,4. Scaling","We invest globally in startups that are adjacent to Sony's core business. Areas include Mobility, Health, Deeptech, Industrial IOT, and others. ",Corporate VC,"$250,000","$10,000,000"
Sorenson Impact Institute,https://sorensonimpactinstitute.com,"85 Fort Douglas Boulevard Building # 602, Salt Lake City, UT 84113, United States",USA,"2. Prototype,3. Early Revenue,4. Scaling",We invest in innovative early-stage social impact startups working to solve the world’s most pressing issues.,VC,"$50,000","$500,000"
SOSV,https://sosv.com/,"174 Nassau Street, #3000, Princeton, New Jersey 08542, US",USA,"1. Idea or Patent,2. Prototype","We invest in pre-seed deep tech companies through one of our accelerators. Life sciences (synthetic biology, syn bio, healthcare, climate tech, clean tech, therapeutics, drug, food, cell cultured meats, biomanufacturing, neuroscience, etc.)",VC,"$250,000","$525,000"
