Investor name,Website,Global HQ,Countries of investment,Stage of investment,Investment thesis,Investor type,First cheque minimum,First cheque maximum
Marathon Ventures,https://www.marathonvc.com/,"Cra 11 #86-53, Bogota, Colombia. 110111","Colombia,Mexico,Brazil,Argentina,Chile","1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in B2B Software, Marketplaces, and Fintech in LATAM",VC,"$250,000","$1,000,000"
MARC Group,http://www.marc-group.com/,"Limestone House, Dubai, UAE ","Afghanistan,Albania,Algeria,Andorra,Antigua and Barbuda,Angola,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bhutan,Bolivia,Bosnia-H,Botswana,Brazil,Brunei,Bulgaria,Burkina Faso,Burundi,Cabo Verde,Cambodia,Cameroon,Canada,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo (Congo-Brazzaville),Costa Rica,Côte d'Ivoire,Croatia,Cuba,Cyprus,Czech Republic,DRC Congo,Denmark,Djibouti,Dominica,Ecuador,Dominican Republic,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,""Eswatini (fmr. """"Swaziland"""")"",Ethiopia,Fiji,Finland,France,Gabon,Gambia,Georgia,Germany,Ghana,Greece,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,Holy See,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Liechtenstein,Lithuania,Luxembourg,Lybia,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Morocco,Mozambique,Myanmar,Nauru,Namibia,Nepal,Netherlands,New Zealand,Nicaragua,Niger,Nigeria,North Korea,North Macedonia,Norway,Pakistan,Oman,Palestine,Palau,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Vincent and the Grenadines,Samoa,San Marino,Sant Kitts and Nevis,Sant Lucia,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Tajikistan,Taiwan,Tanzania,Thailand,Timor-Leste,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Tuvalu,UAE,Uganda,UK,Ukraine,Uruguay,USA,Uzbekistan,Vanuatu,Venezuela,Vietnam,Yemen,Zambia,Zimbabwe","2. Prototype,3. Early Revenue,4. Scaling","We invest in innovative early stage companies across sectors and geographies.

We’re a family office with 2 principals and a diverse portfolio of venture investments (edtech, healthtech, proptech, AI/ML, RPA, media & entertainment, marketplaces, fintech).",Family office,"$25,000","$1,000,000"
Marco Quacken,https://qato.investments,The Offices 4 - One Central Dubai World Trade Centre Dubai UAE,"USA,Austria,Germany,Switzerland,UK,UAE","3. Early Revenue,4. Scaling,5. Growth","I invest in innovative early-stage and Series A technology companies with strong growth potential. Focus areas: UK, DACH, USA, Dubai; AI, ML, blockchain, IoT, clean tech; B2B SaaS, marketplaces, deep tech. Seeking visionary founders, diverse teams, and clear paths to profitability. Cheque sizes: 200k-5M. 10x return potential within 5-7 years pref",Solo angel,"$200,000","$5,000,000"
Maressa Guynn,,"Pittsburgh, PA","South Africa,USA",6. Pre-IPO,"I invest in early-stage founders building at the intersection of sustainability, wellness, and equity—especially those historically overlooked by traditional capital. I look for mission-driven businesses with a clear path to profitability and a bold vision for systemic change. I'm particularly excited by circular economy models, consumer health, AI.",Solo angel,"$5,000","$25,000"
Marigold Capital,https://marigold-capital.com/,"366 Adelaide St. W., Suite 606 Toronto ON M5V 1R9","Canada,USA",3. Early Revenue,"We invest in Canadian and US founders with technology-enabled products and services that deliver value to women, Black, Indigenous, People of Colour (BIPOC) and other underserved groups. $15,000+ MRR across mental health, femtech, edtech, fintech and supply chain resilience/transparency B2B and B2C sectors/markets.",VC,"$50,000","$200,000"
Mario Buric,,"Stuttgart, Germany","Austria,Croatia,Germany,Luxembourg,Monaco,Switzerland","1. Idea or Patent,2. Prototype,3. Early Revenue",I invest in early stage fintech and greentech (especially renewable energy). DACH region.,Solo angel,"$5,000","$50,000"
Mariusz Szynalik,https://dangerfield.games,Poland,"USA,Austria,Belgium,Bosnia-H,Bulgaria,Croatia,Cyprus,Czech Republic,Denmark,Estonia,Finland,France,Georgia,Germany,Greece,Holy See,Hungary,Iceland,Ireland,Italy,Latvia,Liechtenstein,Lithuania,Luxembourg,Malta,Moldova,Monaco,Montenegro,Netherlands,North Macedonia,Norway,Poland,Portugal,Romania,San Marino,Serbia,Slovakia,Slovenia,Spain,Sweden,Switzerland,UK,Ukraine",1. Idea or Patent,"I invest in defense tech, AI + robotics and gaming. 

My personal expertise is mostly in software, AI, gaming.",Solo angel,"$1,000","$25,000"
Mark Hammond,,"Austin, TX",USA,"1. Idea or Patent,2. Prototype,3. Early Revenue","I invest in pre-Seed, Seed and Series A startups building in the DeepTech space, particularly robotics.",Solo angel,"$5,000","$100,000"
Market Square Ventures,https://www.marketsquareventures.com/,121 E. Jackson Avenue Knoxville TN 37915,USA,"2. Prototype,3. Early Revenue",We invest in exceptional founders in TN and Appalachia.,VC,"$50,000","$400,000"
MARL Accelerator,https://marlaccelerator.com/,"San Francisco, CA","Canada,Mexico,USA,India,Germany","2. Prototype,3. Early Revenue","We invest in founders working on solving B2B problems in the sector of Mobility, AR/VR, Robotics, Logistics, Cybersecurity, AI & ML.

- At least one tech founder.
- Prototype Ready
","Incubator, Accelerator","$50,000","$50,000"
