id,name,round,location,sector,website,status,slug
2934,Tribeca Venture Partners,"Series A, Series B",United States,"Media and Entertainment, Financial Services, Education, Digital Media, Agnostic",https://tribecavp.com,Active,tribeca-venture-partners
2935,Trilogy Equity Partners,"Seed, Series A",United States,"Enterprise, Financial Services",https://trilogyequity.com,Active,trilogy-equity-partners
203,Trind Ventures,"Seed, Early Stage",Estonia,Tech,https://www.trind.vc,Active,trind-ventures
4797,Trinity Capital,"Seed, Series A, Series B",United States,,https://www.tcib.com/,,trinity-capital
1779,Trinity Ventures,"Seed, Series A, Series B",United States,"Software, Enterprise, SaaS, Mobile",https://trinityventures.com,Active,trinity-ventures
4798,TriplePoint Capital,"Seed, Series A, Series B",United States,,https://www.triplepointcapital.com/,,triplepoint-capital
1684,Triple Point Ventures,"Seed, Series A",,,https://www.triplepoint.vc/,Active,triple-point-ventures
4800,Tripple,"Pre-Seed, Seed",Australia,,https://www.tripple.com.au/,,tripple
4801,Tri-State Angel Investment Group,Angel,United States,,https://tristateangelinvestment.com,,tri-state-angel-investment-group
2936,TriVentures,Series A,,Biotechnology,https://www.triventures.vc/,Active,triventures
4802,TRIVE Ventures,"Seed, Series A",Singapore,,https://www.trive.vc/,,trive-ventures
2937,Trucks VC,Seed,United States,"Transportation, Robotics, Software, AI, Automation, IT, Impact",https://www.trucks.vc/,Active,trucks-vc
4805,True Incube,"Seed, Series A",,,https://trueincube.com,,true-incube
4806,True North Partners,"Series A, Series B",United Kingdom,,https://tnp.eu,,true-north-partners
4807,TrueSight Ventures,"Pre-Seed, Seed",,,https://www.truesight.vc/,,truesight-ventures
246,True Ventures,Early-stage,United States,"Technology, Consumer, Internet",https://trueventures.com/,Active,true-ventures
1685,True Wealth Ventures,"Seed, Pre-Seed",United States,"Climate, Consumer, Digital Health, Femtech, Consumer Health,  Medical Devices, Health Care, Impact, Sustainability, Underrepresented",https://truewealthvc.com,Active,true-wealth-ventures
605,Truffle Capital,Seed/Early-stage,France,"Life Sciences, FinTech",https://www.truffle.com,Active,truffle-capital
2939,Trust Ventures,Seed,United States,"Health Care, IT, Manufacturing, Energy",https://www.trustventures.com/,Active,trust-ventures
4809,Tsuneshi Capital Partners,Seed,,,https://tsuneishi-cp.com,,tsuneshi-capital-partners
4812,Tumml,Pre-Seed,United States,,https://www.tumml.org/,,tumml
607,Turenne Capital,Seed/Early-stage,France,"Health, Tech",https://www.turennecapital.com,Active,turenne-capital
834,Turn8,Early Stage,United Arab Emirates,"Tech, Digital Media",https://turn8.co/,Active,turn8
4813,TurningIdeas Ventures,Seed,,,https://turningideas.com,,turningideas-ventures
1686,Tusk Ventures,"Seed, Series A",United States,"Digital Health, B2C, B2B, Consumer, Fintech, Health Care, Marketplaces, Transportation, Privacy and Security, Consumer Services, IT, Cannabis",https://www.tusk.vc/,Active,tusk-ventures
4816,TVLP Institute Silicon Valley,Accelerator,United States,,https://www.tvlp.co/,,tvlp-institute-silicon-valley
4817,TVM Capital,"Series A, Series B",Germany,,https://tvm-capital.com,,tvm-capital
4819,Twin Point Capital,"Series A, Series B",United States,,https://www.twinpointcap.com/,,twin-point-capital
1687,Two Sigma Ventures,"Seed, Series A, Series B, Series C, Growth",United States,"Software, SaaS, AI, Health Care",https://twosigmaventures.com,Active,two-sigma-ventures
2940,Tyson Ventures,"Series A, Series B, Series C",United States,"Agriculture, E-Commerce, Food and Beverage, IoT, Transportation",https://www.tysonfoods.com/innovation/food-innovation/tyson-ventures,Active,tyson-ventures
4821,UDGAM,Accelerator,India,,https://www.uincept.com/,,udgam
1689,Uequity,"Accelerator, Pre-Seed, Seed, Series A",Sweden,Agnostic,https://www.uequity.se/,Active,uequity
4822,UK Innovation & Science Seed Fund,Seed,,,https://ukinnovationscienceseedfund.co.uk,,uk-innovation--science-seed-fund
4824,UKTV Ventures,"Seed, Series A, Series B",,,https://www.uktvventures.co.uk/,,uktv-ventures
1690,Ulu Ventures,"Seed, Pre-Seed, Series A",United States,"B2B, Deep Tech, Education, Enterprise, Fintech, Impact, Marketplaces, SaaS",https://uluventures.com,Active,ulu-ventures
2942,UMG IdeaLab,"Pre-Seed, Seed",Indonesia,AI,https://www.umgidealab.id/,Active,umg-idealab
2943,Uncapped,Alt. VC,United Kingdom,"E-Commerce, Gaming, SaaS, B2C, Applications",https://www.weareuncapped.com/,Active,uncapped
